	1ST ENTERPRISE BANK	LOS ANGELES,CA		FEBKUS6LXXX
2	1ST UNITED BANK	BOCA RATON,FL		HEMSUS3MXXX
3	ABACUS FEDERAL SAVINGS BANK	NEW YORK,NY		AFSBUS33XXX
4	ABBEY NATIONAL SECURITIES INC.	STAMFORD,CT		ANSSUS33XXX
5	ABBEY NATIONAL TREASURY SERVICES LTD US BRANCH	STAMFORD,CT		ANTSUS33XXX
6	ABERCROMBIE AND FITCH CO.	NEW ALBANY,OH		ANFCUS33XXX
7	ABN AMRO CAPITAL USA LLC	NEW YORK,NY		FTSBUS33XXX
8	ABU DHABI INTERNATIONAL BANK INC.	WASHINGTON,DC		ADIBUS33XXX
9	ACI CAPITAL GROUP, LLC	NEW YORK,NY		ACIXUS33XXX
10	ACUPAY SYSTEM LLC	NEW YORK,NY		ACPYUS33XXX
11	ADP CLEARING AND OUTSOURCING SERVICES INC.	NEW YORK,NY		ADPCUS33XXX
12	ADP GLOBAL PROXY SERVICES	EDGEWOOD,NY		ADPGUS33XXX
13	AEGON USA INVESTMENT MANAGEMENT, LLC	CEDAR RAPIDS,IA		AEGUUS44XXX
14	AGILENT TECHNOLOGIES, INC	SANTA CLARA,CA		AGILUS6SXXX
15	AGRICULTURAL BANK OF CHINA NEW YORK BRANCH	NEW YORK,NY		ABOCUS33XXX
16	AIB BANK	NEW YORK,NY	(TREASURY DEPT)	AIBKUS3TTMK
17	AIB BANK	NEW YORK,NY		AIBKUS33XXX
18	AIB BANK	NEW YORK,NY		AIBKUS3TXXX
19	AIG FINANCIAL PRODUCTS CORP.	WILTON,CT		AIGFUS33XXX
20	AIG INTERNATIONAL INC.	WILTON,CT		AIGIUS33XXX
21	ALCOA INC.	PITTSBURGH,PA		ALUMUS33XXX
22	ALLY FINANCIAL INC	CHARLOTTE,NC	(ALLY FINANCIAL INC)	ALYIUS33INC
23	ALLY FINANCIAL INC	CHARLOTTE,NC	(QUANTUM)	ALYIUS33QTM
24	ALLY FINANCIAL INC	CHARLOTTE,NC	(SIERRA)	ALYIUS33SER
25	ALLY FINANCIAL INC	DETROIT,MI		ALYIUS33XXX
26	ALOSTAR BANK OF COMMERCE	BIRMINGHAM,AL		ALOEUS44XXX
27	ALTICOR INC	ADA,MI		AMWYUS33XXX
28	AMB PROPERTY, L.P.	SAN FRANCISCO,CA		AMBCUS6LXXX
29	AMEGY BANK N.A.	HOUSTON,TX		SWBKUS44XXX
30	AMERICAN BUSINESS BANK	LOS ANGELES,CA		ACBBUS6LXXX
31	AMERICAN EXPRESS TRAVEL RELATED SERVICES CO.,INC. (TRAVELERS CHEQUE OPER.CTR.)	SALT LAKE CITY,UT		AETCUS55XXX
32	AMERICAN FIRST NATIONAL BANK	HOUSTON,TX		AFNBUS4HXXX
33	AMERICAN INTERNATIONAL GROUP	JERSEY CITY,NJ		AIGXUS33XXX
34	AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP	NEW YORK,NY	(AIM/POMS SERVICE)	AGIGUS3WXXX
35	AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP	NEW YORK,NY		AGIGUS33XXX
36	AMERICAN INTERNATIONAL GROUP GLOBAL INVESTMENT GROUP	WILTON,CT	(MARKETS INC)	AGIGUS33MKT
37	AMERICAN PERSPECTIVE BANK	SAN LUIS OBISPO,CA		APBAUS6LXXX
38	APOLLO BANK	MIAMI,FL		UCBMUS3MXXX
39	ARAB BANKING CORPORATION	NEW YORK,NY		ABCOUS33XXX
40	ARES MANAGEMENT LLC	LOS ANGELES,CA		ARNLUS66XXX
41	ARVEST BANK	TULSA,OK		ARVTUS44XXX
42	ASSOCIATED BANK GREEN BAY N.A.	GREEN BAY,WI		ABGBUS44XXX
43	ASSOCIATED FOREIGN EXCHANGE, INC	ENCINO,CA		AFEIUS6LXXX
44	ATLANTIC CENTRAL BANKERS BANK	CAMP HILL,PA		ATLCUS33XXX
45	AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.	NEW YORK,NY		ANZBUS33XXX
46	AVERY DENNISON CORPORATION	PASADENA,CA		AVERUS66XXX
47	AVM L.P.	BOCA RATON,FL		IIIAUS33XXX
48	BAC FLORIDA BANK	MIAMI,FL		BFLBUS3MXXX
49	BAIN AND COMPANY INC	BOSTON,MA		BAOYUS33XXX
50	BAKER HUGHES INCORPORATED	HOUSTON,TX		BHICUS44XXX
51	BANAMEX USA	LOS ANGELES,CA		CALCUS6LXXX
52	BANCA IMI SECURITIES CORP.	NEW YORK,NY		BIMIUS33XXX
