
Browse Swift Codes in united states-8 (US SWIFT Code)

We have provided you with a list of SWIFT codes for all banks currently present in united states-8. But note that the mentioned list of SWIFT codes contains just the active participants who are linked to the SWIFT network. However the inactive participants are omitted from here.

No	Institution	City Heading	Branch Name	Swift Code
701	CITIBANK N.A.	NEW YORK,NY	(MCG DEPARTMENT)	CITIUS33MCG
702	CITIBANK N.A.	NEW YORK,NY	(MIDDLE OFFICE AS AGENT TO CREDIT SUISSE ASSET MANAGEMENT)	CITIUS33CSA
703	CITIBANK N.A.	NEW YORK,NY	(MIDDLE OFFICE AS AGENT TO VICTORY CAPITAL MANAGEMENT)	CITIUS33VCM
704	CITIBANK N.A.	NEW YORK,NY	(MIDDLE OFFICE SUPPORT CASH AND POSITION RECON)	CITIUS33FOR
705	CITIBANK N.A.	NEW YORK,NY	(NAM COLLATERAL MANAGEMENT)	CITIUS33OPC
706	CITIBANK N.A.	NEW YORK,NY	(ONLINE INVESTMENT SERVICES)	CITIUS33OLI
707	CITIBANK N.A.	NEW YORK,NY	(TRANSACTION INITIATION)	CITIUS33GPT
708	CITIBANK N.A.	NEW YORK,NY		CITIUS33GRP
709	CITIBANK N.A.	NEW YORK,NY		CITIUS33XXX
710	CITIC BANK INTERNATIONAL LTD., LOS ANGELES BRANCH	ALHAMBRA,CA		KWHKUS66XXX
711	CITIC BANK INTERNATIONAL LTD., NEW YORK BRANCH	NEW YORK,NY		KWHKUS33XXX
712	CITIGROUP FINANCIAL PRODUCTS INC.	NEW YORK,NY		SBHDUS33XXX
713	CITIGROUP FOREX INC.	NEW YORK,NY		SFXIUS33XXX
714	CITIGROUP GLOBAL MARKETS COMMERCIAL CORP.	NEW YORK,NY		SBFOUS33XXX
715	CITIGROUP GLOBAL MARKETS INC.	NEW CITY,NY	(EQUITY PRIME FINANCE FUTURES)	SBSIUS33FUT
716	CITIGROUP GLOBAL MARKETS INC.	NEW YORK,NY	(EQUITY FINANCE PRIME BROKER)	SBSIUS33EFP
717	CITIGROUP GLOBAL MARKETS INC.	NEW YORK,NY	(EQUITY PRIME FINANCE STOCKLOAN)	SBSIUS33SLS
718	CITIGROUP GLOBAL MARKETS INC.	NEW YORK,NY	(PB ASSET TRANSFERS)	SBSIUS33TRF
719	CITIGROUP GLOBAL MARKETS INC.	NEW YORK,NY		SBNYUS33XXX
720	CITIGROUP GLOBAL MARKETS INC.	NEW YORK,NY		SBSIUS33XXX
721	CITIZENS BUSINESS BANK	ONTARIO,CA	(INTERNATIONAL DEPT.)	CBBKUS6L940
722	CITIZENS BUSINESS BANK	ONTARIO,CA	(WIRE DEPARTMENT)	CBBKUS6LWIR
723	CITIZENS BUSINESS BANK	ONTARIO,CA		CBBKUS6LXXX
724	CITY NATIONAL BANK	LOS ANGELES,CA		CINAUS6LXXX
725	CITY NATIONAL BANK OF FLORIDA	MIAMI,FL		CNBFUS3MXXX
726	CLEARBRIDGE ADVISORS, LLC	STAMFORD,CT		CGAMUS33XXX
727	CLEARBRIDGE ADVISORS, LLC	STAMFORD,CT		CGAMUS3AXXX
728	CLEARWATER ANALYTICS	BOISE,ID		CWANUS55XXX
729	CLS BANK INTERNATIONAL	NEW YORK,NY		CLSBUS33XXX
730	COBANK	DENVER,CO		NBFCUS55XXX
731	COLE TAYLOR BANK	ROSEMONT,IL		COLEUS44XXX
732	COLUMBIA MANAGEMENT ADVISORS, LLC	BOSTON,MA		CMOPUS3BXXX
