
Browse Swift Codes in CHINA (US SWIFT Code)

We have provided you with a list of SWIFT codes for all banks currently present in China. But note that the mentioned list of SWIFT codes contains just the active participants who are linked to the SWIFT network. However the inactive participants are omitted from here.

More codes for all banks in China.
More codes for AGRICULTURAL BANK OF CHINAbranch.
More codes forAGRICULTURAL DEVELOPMENT BANK OF CHINA branch.
More codes for BANK OF CHINA branch.
More codes for BANK OF COMMUNICATIONS branch.
More codes for CHINA CITIC BANK branch.
More codes for CHINA CONSTRUCTION BANK branch.
More codes for CHINA DEVELOPMENT BANK branch.
More codes for CHINA EVERBRIGHT BANK branch.
More codes for CHINA MERCHANTS BANK branch.
More codes for CHINA MINSHENG BANK branch.
More codes for GUANGDONG DEVELOPMENT BANK branch.
More codes for HUA XIA BANK branch.
More codes for INDUSTRIAL AND COMMERCIAL BANK OF CHINA branch.
More codes for INDUSTRIAL BANK branch.
More codes for SHANGHAI PUDONG DEVELOPMENT BANK branch.

No	Institution	City Heading	Branch Name	Swift Code
1	ABN AMRO BANK (CHINA)CO., LTD	BEIJING	(BEIJING BRANCH)	ABNACNSHBJG
2	ABN AMRO BANK (CHINA)CO., LTD	CHENGDU	(CHENGDU BR.)	ABNACNSHCDU
3	ABN AMRO BANK (CHINA)CO., LTD	CHONGQING	(CHONG QING BR.)	ABNACNSHCQG
4	ABN AMRO BANK (CHINA)CO., LTD	SHANGHAI	(CHINA CONSUMER BANKING)	ABNACNSH888
5	ABN AMRO BANK (CHINA)CO., LTD	SHANGHAI	(HEAD OFFICE)	ABNACNSHXXX
6	ABN AMRO BANK (CHINA)CO., LTD	SHANGHAI	(SHANGHAI BR. )	ABNACNSHSHA
7	ABN AMRO BANK (CHINA)CO., LTD	SHENZHEN	(SHENZHEN BRANCH)	ABNACNSHSZN
8	AGRICULTURAL BANK OF CHINA, THE	BEIJING	(HEAD OFFICE)	ABOCCNBJXXX
9	AGRICULTURAL DEVELOPMENT BANK OF CHINA, THE	BEIJING		ADBNCNBJXXX
10	ALLIED COMMERCIAL BANK	XIAMEN		COXICNBAXXX
11	ANSHAN CITY COMMERCIAL BANK	ANSHAN		ANBKCNBAXXX
12	AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED, BEIJING BRANCH	BEIJING		ANZBCNSHBJG
13	AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED, SHANGHAI BRANCH	SHANGHAI		ANZBCNSHXXX
14	BANCA MONTE DEI PASCHI DI SIENA S.P.A.	SHANGHAI		PASCCNSHXXX
15	BANCO SANTANDER, S.A. SHANGHAI BRANCH	SHANGHAI		BSCHCNSHXXX
16	BANGKOK BANK PUBLIC COMPANY LIMITED	BEIJING	(BEIJING BRANCH)	BKKBCNSHPEK
17	BANGKOK BANK PUBLIC COMPANY LIMITED	SHANGHAI	(SHANGHAI OPERATION)	BKKBCNSHSHA
18	BANGKOK BANK PUBLIC COMPANY LIMITED	SHANGHAI		BKKBCNSHXXX
19	BANGKOK BANK PUBLIC COMPANY LIMITED	SHANTOU	(SHANTOU BRANCH)	BKKBCNSHSAW
20	BANGKOK BANK PUBLIC COMPANY LIMITED	SHENZHEN	(SHENZHEN BRNCH)	BKKBCNSHSZN
21	BANGKOK BANK PUBLIC COMPANY LIMITED	XIAMEN	(XIAMEN BRANCH)	BKKBCNSHSMN
