COMPANY	COUNTRY	MARKET
360Networks Inc.	Canada	OTC
3DLabs Inc. Ltd.	Bermuda	NMS
724 Solutions Inc.	Canada	NMS
A B Electrolux	Sweden	NMS
A B SKF	Sweden	NMS
A B Volvo	Sweden	NMS
A R T International Inc.	Canada	OTC
A.O. Tatneft	Russia	NYSE
ABB Ltd.	Switzerland	NYSE
Abbey National plc	United Kingdom	NYSE - Preferred
Aber Diamond Ltd.	Canada	SM CAP
Abitibi Consolidated Inc.	Canada	NYSE
ABN Amro Holding N.V.	Netherlands	NYSE
Acambis plc	United Kingdom	NMS
Accelio Corp.	Canada	NMS
Acetex Corp.	Canada	OTC - Debt
Achieva Development Corp.	Canada	OTC
Acindar Industria Argentina de Aceros S.A.	Argentina	OTC - Debt
ACLN Ltd.	Cyprus	NYSE
ACS-Tech 80 Ltd.	Israel	SM CAP
ActFit.com Inc.	Canada	OTC
ActivCard S.A.	France	NMS
Active Assets & Associates Inc.	Canada	OTC
ADB Systems International Inc.	Canada	NMS
Adecco S.A.	Switzerland	NYSE
Adrian Resources Ltd.	Canada	OTC
Advance Agro Public Co. Ltd.	Thailand	OTC - Debt
Advanced Semiconductor Engineering, Inc.	Taiwan	NYSE
Advantest Corp.	Japan	NYSE
AdvantExcel.com Communications Corp.	Canada	OTC
AEGON N.V.	Netherlands	NYSE
Aerco Ltd.	United Kingdom	OTC - Debt
AES Drax Holdings Ltd.	United Kingdom	OTC - Debt
AES Drax Power Finance Holdings Ltd.	United Kingdom	OTC - Debt
Aeterna Laboratories Inc.	Canada	NMS
Agnico-Eagle Mines Ltd.	Canada	NYSE
Agrium Inc.	Canada	NYSE
AimGlobal Technologies Co. Inc.	Canada	AMEX
Ainsworth Lumber Co. Ltd.	Canada	OTC
Air Canada	Canada	NMS
Akzo Nobel N.V.	Netherlands	NMS
Aladdin Knowledge Systems Ltd.	Israel	NMS
Alberta Energy Co. Ltd.	Canada	NYSE
Alcan Inc.	Canada	NYSE
Alcatel	France	NYSE
Alestra, S de R.L. de C.V.	Mexico	OTC - Debt
Alfa Laval Special Finance AB	Sweden	OTC - Debt
Algoma Steel Inc.	Canada	OTC
Alliance Atlantis Communications Corp.	Canada	NMS
Allianz Aktiengesellschaft	Germany	NYSE
Allied Irish Banks plc	Ireland	NYSE
Allura International Inc.	Canada	OTC
Almaden Resource Corp.	Canada	OTC
Alstom	France	NYSE
Altair International, Inc.	Canada	NMS
Altarex Corp.	Canada	OTC
Alto Palermo S.A.	Argentina	NMS
Aluminum Corp of China Ltd.	China	NYSE
Alvarion Ltd.	Israel	NMS
Amarin Corp plc	United Kingdom	NMS
Amatek Industries Pty Ltd.	Australia	OTC - Debt
Amcor Ltd.	Australia	NMS
Amdocs Ltd.	United Kingdom	NYSE
America Mineral Fields Inc.	Canada	OTC
America Movil, S.A. de C.V.	Mexico	NYSE
American Israeli Paper Mills Ltd.	Israel	AMEX
Amersham plc	United Kingdom	NYSE
Amvescap plc	United Kingdom	NYSE
Amway Japan Ltd.	Japan	OTC
Anangel-American Shipholdings Ltd.	Cayman Islands	NMS
Anchor Lamina, Inc.	Canada	OTC
Angiotech Pharmaceuticals, Inc.	Canada	NMS
Anglo Swiss Resources Inc.	Canada	OTC
Anglogold Ltd.	South Africa	NYSE
Anooraq Resources Corp.	Canada	OTC
Antenna TV S.A.	Greece	NMS
Anthony Clark International Insurance Brokers Inc.	Canada	OTC
API Electronics Group Inc.	Canada	OTC
Apiva.com Web Corp.	Canada	OTC
APT Satellite Holdings Ltd.	Bermuda	NYSE
Aracruz Celulose S.A.	Brazil	NYSE
Aramex International Ltd.	Bermuda	NMS
ARC Energy Trust	Canada	OTC
Arcadis N.V.	Netherlands	NMS
Arch Capital Group Ltd.	Bermuda	NMS
Archangel Diamond Co.	Canada	OTC
Arel Communications & Software Ltd.	Israel	NMS
Argosy Minerals Inc.	Canada	OTC
Ariel Resources Ltd.	Canada	OTC
Arm Holdings plc	United Kingdom	NMS
Art Advanced Research Technologies Inc.	Canada	OTC
Aryt Industries Ltd.	Israel	OTC
ASAT Holdings Ltd.	Cayman Islands	NMS
ASE Test Ltd.	Singapore	NMS
Ashanti Goldfields Co. Ltd.	Ghana	NYSE
Asia Pacific Resources International Ltd.	Bermuda	OTC
Asia Pacific Resources, Ltd.	Canada	OTC
Asia Pacific Wire & Cable Corp. Ltd.	Bermuda	NYSE
Asia Pulp & Paper Co. Ltd.	Singapore	OTC
Asia Satellite Telecommunications Holdings Ltd.	Bermuda	NYSE
Asiacontent.com Ltd.	British Virgin Islands	NMS
ASM International N.V.	Netherlands	NMS
ASML Holding N.V.	Netherlands	NMS
Aspen Group Resources Corp.	Canada	OTC
AstraZeneca plc	United Kingdom	NYSE
Astris Energi Inc.	Canada	OTC
AT Plastics Inc.	Canada	AMEX
AT&T Canada Inc.	Canada	NMS
ATI Technologies Inc.	Canada	NMS
Atlantic Caspian Resources plc	United Kingdom	OTC
Atlantic Telecom Group plc	United Kingdom	OTC - Debt
Atlas Pacific Ltd.	Australia	SM CAP
ATNA Resources Ltd.	Canada	OTC
Attunity Ltd.	Israel	NMS
Audiocodes Ltd.	Israel	NMS
Aurizon Mines Ltd.	Canada	OTC
Aurora Metals BVI Ltd.	Canada	OTC
Australia & New Zealand Banking Group Ltd.	Australia	NYSE
Autonomy Corp plc	United Kingdom	NMS
Avecia Group plc	United Kingdom	OTC - Debt
Aventis	France	NYSE
AXA	France	NYSE
Axcan Pharma Inc.	Canada	NMS
Ayotte Music Inc.	Canada	OTC
Azteca Holdings, S.A. de C.V.	Mexico	OTC - Debt
Aztek Technologies Inc.	Canada	OTC
B & H Ocean Carriers Ltd.	Liberia	AMEX
Bakbone Software Inc.	Canada	OTC
Balaton Power Inc.	Canada	OTC
Ballard Power Systems Inc.	Canada	NMS
Baltimore Technologies plc	United Kingdom	OTC
Banco Bilboa Vizcaya Argentaria S.A.	Spain	NYSE
Banco Bradesco S.A.	Brazil	NYSE
Banco Comercial Portugues S.A.	Portugal	NYSE
Banco de A. Edwards	Chile	NYSE
Banco de Chile	Chile	NYSE
Banco Espirito Santo e Comercial de Lisboa S.A.	Portugal	NYSE - Preferred
Banco Rio de la Plata S.A.	Argentina	OTC - Debt
Banco Santander - Chile	Chile	NYSE
Banco Santander Central Hispano S.A.	Spain	NYSE
Banco Santiago	Chile	NYSE
Banco Totta & Acores S.A.	Portugal	NYSE - Preferred
BanColombia S.A.	Colombia	NYSE
Bank of Montreal	Canada	NYSE
Barak I.T.C. (1995) - International Telecommunications Services Corp.	Israel	OTC - Debt
Barbeques Galore Ltd.	Australia	NMS
Barclays Bank plc	United Kingdom	NYSE - Preferred
Barclays plc	United Kingdom	NYSE
Barrick Gold Corp.	Canada	NYSE
BASF Aktiengesellschaft	Germany	NYSE
Battery Technologies Inc.	Canada	OTC
Baytex Energy Ltd.	Canada	OTC - Debt
BBVA Banco BHIF	Chile	NYSE
BBVA Banco Frances S.A.	Argentina	NYSE
BCE Inc.	Canada	NYSE
BCI Telecom Holding Inc.	Canada	NMS
BE Semiconductor Industries N.V.	Netherlands	NMS
Beijing Yanhua Petrochemical Co. Ltd.	China	NYSE
Bell Canada	Canada	OTC - Debt
Belmont Resources, Inc.	Canada	OTC
Belzberg Technologies Inc.	Canada	OTC
Bema Gold Corp.	Canada	AMEX
Benetton Group S.p.A.	Italy	NYSE
Benguet	Philippines	OTC
Bennett Environmental Inc.	Canada	AMEX
Berkley Resources Inc.	Canada	OTC
Bestel S.A. de C.V.	Mexico	OTC - Debt
BG Group plc	United Kingdom	NYSE
BHP Billiton Ltd.	Australia	NYSE
Biacore International AB	Sweden	NMS
Big Rock Brewery Ltd.	Canada	NMS
Bioforest Pacific Inc.	Canada	OTC
Biomira Inc.	Canada	NMS
Biora AB	Sweden	OTC
Biovail Corporation	Canada	NYSE
Birch Mountain Resources Ltd.	Canada	OTC
Blue Square - Israel Ltd.	Israel	NYSE
Boardwalk Equities Inc.	Canada	NYSE
BOC Group plc	United Kingdom	NYSE
Bonso Electronics International Inc.	British Virgin Islands	NMS
